OBJECTID,GEOID,Tract Label,Tract Name,Community Reporting Area Name,Community Reporting Area ID,Year,Tract Median Apartment Contract Rent per Square Foot,Tract Median Apartment Contract Rent per Unit,Year over Year Change in Rent per Square Foot,Year over Year Change in Rent per Unit,Cost Category,Year over Year Change in Rent Category,Mixed-Rate or Mixed-Income Apartment in Tract,Level of Concern,PROPERTIES,Shape__Area,Shape__Length
1,53033001201,12.01,Census Tract 12.01,Northgate/Maple Leaf,8.1,2001,1.51,1073,0.055944055944056,0.0519607843137255,Low,Stable,1209,,21,10851861.641449,15899.7733430541
2,53033000404,4.04,Census Tract 4.04,Broadview/Bitter Lake,9.1,2001,1.29,1043,0.0403225806451613,0.041958041958042,Low,Stable,454,,7,6791652.7237854,12962.5584131713
3,53033004901,49.01,Census Tract 49.01,Fremont,11.1,2001,1.78,1059,0.0470588235294118,0.0526838966202783,Medium,Stable,977,,106,5350888.21542358,9379.65576684679
4,53033003601,36.01,Census Tract 36.01,Green Lake,9.4,2001,2.1,1202,0.0552763819095478,0.0553116769095698,Medium,Stable,412,,34,7255879.06799316,11894.2888948854
5,53033002800,28,Census Tract 28,Greenwood/Phinney Ridge,9.3,2001,1.59,998,0.0529801324503312,0.0527426160337553,Low,Stable,290,,31,10637151.8217773,13201.311297987
6,53033003100,31,Census Tract 31,Sunset Hill/Loyal Heights,10.3,2001,1.33,917,0.0555555555555556,0.052812858783008,Low,Stable,107,,14,23137464.0452271,24704.5678017235
7,53033006400,64,Census Tract 64,Miller Park,6.4,2001,1.78,1501,0.0532544378698225,0.0540730337078652,High,Stable,103,,5,9726351.90356445,13186.7701844683
8,53033004301,43.01,Census Tract 43.01,Ravenna/Bryant,7.3,2001,2.64,1701,0.0517928286852591,0.0512978986402967,High,Stable,69,,8,10539780.5728455,17192.703749828
9,53033002500,25,Census Tract 25,Ravenna/Bryant,7.3,2001,0,0,0,0,,,0,,0,10594634.2979736,16442.9685869958
10,53033002200,22,Census Tract 22,Wedgwood/View Ridge,7.4,2001,1.95,1663,0.0483870967741935,0.0512010113780025,High,Stable,73,,5,30127208.0188904,28505.8067930163
11,53033004000,40,Census Tract 40,Laurelhurst/Sand Point,7.5,2001,1.31,884,0.0564516129032259,0.0548926014319809,Low,Stable,54,,2,26374983.680542,27560.0138429836
12,53033005804,58.04,Census Tract 58.04,Interbay,12.2,2001,1.92,1279,0.0491803278688524,0.0475020475020475,Medium,Stable,572,,34,25124062.7388306,48668.2722430527
13,53033006800,68,Census Tract 68,Queen Anne,12.3,2001,2.53,1689,0.0497925311203318,0.051681195516812,High,Stable,234,,23,7729250.27154541,11275.3773479613
14,53033008102,81.02,Census Tract 81.02,Downtown Commercial Core,13.2,2001,3.3,2889,0.0543130990415335,0.0528425655976676,High,Stable,173,,5,5987812.08642578,14339.9950294181
15,53033008101,81.01,Census Tract 81.01,Downtown Commercial Core,13.2,2001,1.69,1478,0.0562499999999999,0.0602582496413199,Medium,Stable,885,,5,2992165.47857666,11427.1467556707
16,53033007902,79.02,Census Tract 79.02,Central Area/Squire Park,5.3,2001,1.9,1293,0.0497237569060773,0.0520748576078112,Medium,Stable,176,,13,4641637.80010986,9715.12087740264
17,53033007302,73.02,Census Tract 73.02,Cascade/Eastlake,11.3,2001,2.66,2151,0.047244094488189,0.0482456140350877,High,Stable,663,,4,3368769.26522827,7802.42635391176
18,53033007101,71.01,Census Tract 71.01,Queen Anne,12.3,2001,2.24,1491,0.0516431924882631,0.0514809590973202,High,Stable,370,,13,5328474.60678101,9004.94722654019
19,53033009300,93,Census Tract 93,Duwamish/SODO,3.3,2001,2.08,1494,0.0505050505050506,0.0528541226215645,High,Stable,261,,10,102171584.839813,53946.3734519274
20,53033010502,105.02,Census Tract 105.02,West Seattle Junction/Genesee Hill,1.3,2001,1.72,1165,0.0552147239263804,0.0523938572719061,Medium,Stable,379,,22,10504351.3417664,14546.1362419116
21,53033010001,100.01,Census Tract 100.01,North Beacon Hill/Jefferson Park,3.6,2001,1.87,1189,0.050561797752809,0.052212389380531,Medium,Stable,198,,16,25052474.6053925,25628.9245317132
22,53033009801,98.01,Census Tract 98.01,West Seattle Junction/Genesee Hill,1.3,2001,2.04,1371,0.0515463917525774,0.0513803680981595,High,Stable,219,,19,10814248.9397583,13291.5490832838
23,53033008900,89,Census Tract 89,Madrona/Leschi,5.1,2001,2.18,1506,0.0480769230769231,0.0516759776536313,High,Stable,234,,15,13690717.169342,19328.7463975703
24,53033026300,263,Census Tract 263,Rainier Beach,4.1,2001,0,0,0,0,,,0,,0,30724.63331604,954.048024444965
25,53033012000,120,Census Tract 120,Arbor Heights,1.1,2001,0,0,0,0,,,0,,0,15560990.4431915,16787.974281693
26,53033011101,111.01,Census Tract 111.01,Columbia City,4.2,2001,1.84,1217,0.0514285714285715,0.0518582541054451,Medium,Stable,170,,13,12236718.0846863,15552.0743493747
27,53033011001,110.01,Census Tract 110.01,South Beacon Hill/NewHolly,3.4,2001,0,0,0,0,,,0,,0,11629041.0737,16287.3553131872
28,53033010800,108,Census Tract 108,Riverview,2.3,2001,0,0,0,0,,,0,,0,44087445.2204437,39019.3474976913
29,53033000800,8,Census Tract 8,Cedar Park/Meadowbrook,8.3,2001,0,0,0,0,,,0,,0,12290810.0239868,15312.0874645944
30,53033003400,34,Census Tract 34,Greenwood/Phinney Ridge,9.3,2001,1.14,704,0.0555555555555554,0.0538922155688623,Low,Stable,93,,9,8472471.71472168,12629.322933575
31,53033005306,53.06,Census Tract 53.06,University District,7.2,2001,1.87,1038,0.050561797752809,0.0516717325227964,Medium,Stable,435,,16,2157906.05789185,5954.87262312138
32,53033004302,43.02,Census Tract 43.02,Ravenna/Bryant,7.3,2001,2.22,1353,0.0521327014218011,0.052099533437014,High,Stable,981,,60,3564115.6701355,7987.27441919544
33,53033002400,24,Census Tract 24,Wedgwood/View Ridge,7.4,2001,0,0,0,0,,,0,,0,10359919.7832642,13151.7125244876
34,53033004102,41.02,Census Tract 41.02,Laurelhurst/Sand Point,7.5,2001,1.58,1124,0.0533333333333334,0.052434456928839,Medium,Stable,224,,7,17933927.2689209,23350.8002922279
35,53033005600,56,Census Tract 56,Magnolia,12.1,2001,0,0,0,0,,,0,,0,32045056.1363831,29943.5055294428
36,53033006703,67.03,Census Tract 67.03,Queen Anne,12.3,2001,1.31,1026,0.048,0.0512295081967213,Low,Stable,614,,36,6427171.88375854,10846.4930444777
37,53033006100,61,Census Tract 61,Montlake/Portage Bay,7.1,2001,2.16,1257,0.0485436893203884,0.0527638190954774,High,Stable,990,,80,11959193.7410278,21477.2648301767
38,53033005700,57,Census Tract 57,Magnolia,12.1,2001,1.52,1142,0.0555555555555556,0.0535055350553506,Medium,Stable,352,,28,53305584.4251709,44506.5655358236
39,53033005901,59.01,Census Tract 59.01,Queen Anne,12.3,2001,1.68,1082,0.0181818181818182,0.0246212121212121,Medium,Stable,389,,29,8449086.71850586,19075.2924234318
40,53033008401,84.01,Census Tract 84.01,Capitol Hill,6.2,2001,2.38,1521,0.0530973451327434,0.0518672199170125,High,Stable,783,,18,2700766.60922241,9275.81826751285
41,53033008300,83,Census Tract 83,First Hill,6.1,2001,1.91,1292,0.0494505494505494,0.0521172638436482,Medium,Stable,867,,12,2561276.49777222,8632.13489440587
42,53033007501,75.01,Census Tract 75.01,Capitol Hill,6.2,2001,2.06,1189,0.0510204081632654,0.0531443755535872,Medium,Stable,1454,,82,3210519.93661499,7219.62364175991
43,53033009702,97.02,Census Tract 97.02,West Seattle Junction/Genesee Hill,1.3,2001,1.71,1103,0.0555555555555555,0.0544933078393881,Medium,Stable,105,,7,23899907.4262695,28258.7625684306
44,53033008800,88,Census Tract 88,Central Area/Squire Park,5.3,2001,2.1,1329,0.05,0.0522565320665083,High,Stable,230,,27,10210038.8581238,13202.5268569703
45,53033008500,85,Census Tract 85,First Hill,6.1,2001,2.35,1561,0.0444444444444445,0.0469483568075117,High,Stable,884,,18,4854121.3192749,9025.58161466663
46,53033026500,265,Census Tract 265,Highland Park,2.5,2001,0,0,0,0,,,0,,0,4617675.48258972,11234.9647811896
47,53033011601,116.01,Census Tract 116.01,Fauntleroy/Seaview,1.2,2001,1.05,731,0.05,0.053314121037464,Low,Stable,80,,6,16710842.8944397,20011.9659924997
48,53033011300,113,Census Tract 113,Highland Park,2.5,2001,1,811,0.0526315789473685,0.0491591203104787,Low,Stable,328,,16,37260682.9683075,27184.1613850878
49,53033011500,115,Census Tract 115,Roxhill/Westwood,2.4,2001,1.3,918,0.0569105691056911,0.0527522935779817,Low,Stable,250,,12,16558652.7529297,19887.3089363241
50,53033010601,106.01,Census Tract 106.01,Fauntleroy/Seaview,1.2,2001,1.71,1050,0.049079754601227,0.0531594784353059,Medium,Stable,375,,24,11724162.319458,14458.8370353337
51,53033001202,12.02,Census Tract 12.02,Northgate/Maple Leaf,8.1,2001,1.88,1382,0.0561797752808988,0.0517503805175038,High,Stable,422,,9,8841145.88363647,13324.9900925288
52,53033000102,1.02,Census Tract 1.02,Cedar Park/Meadowbrook,8.3,2001,1.6,1165,0.0526315789473685,0.0552536231884058,Medium,Stable,320,,13,15446821.4830017,19552.3623304664
53,53033004701,47.01,Census Tract 47.01,Ballard,10.4,2001,2,1388,0.0526315789473685,0.0515151515151515,High,Stable,624,,48,6036028.32614136,13539.0476262898
54,53033004500,45,Census Tract 45,Wallingford,11.2,2001,0,0,0,0,,,0,,0,7222109.8883667,11018.3020934985
55,53033002900,29,Census Tract 29,Greenwood/Phinney Ridge,9.3,2001,1.55,1109,0.054421768707483,0.0511848341232227,Low,Stable,241,,23,10614791.1058044,13366.3196709081
56,53033004201,42.01,Census Tract 42.01,Ravenna/Bryant,7.3,2001,1.33,1187,0.0555555555555556,0.0532386867790594,Low,Stable,178,,10,13390664.2680969,18286.1439211159
57,53033007403,74.03,Census Tract 74.03,Capitol Hill,6.2,2001,2.01,1194,0.0523560209424083,0.0538393645189762,Medium,Stable,1007,,49,1276089.0690918,5227.49528678734
58,53033007002,70.02,Census Tract 70.02,Queen Anne,12.3,2001,1.95,1263,0.054054054054054,0.0525,Medium,Stable,1561,,76,4746869.84552002,9490.79905735624
59,53033005803,58.03,Census Tract 58.03,Interbay,12.2,2001,1.39,1000,0.0451127819548871,0.0438413361169102,Low,Stable,323,,29,8956173.42456055,17129.1988103483
60,53033005902,59.02,Census Tract 59.02,Queen Anne,12.3,2001,1.47,1129,0.0575539568345324,0.0541549953314659,Low,Stable,103,,10,11010649.894989,15184.2205727179
61,53033004902,49.02,Census Tract 49.02,Fremont,11.1,2001,2,1172,0.0526315789473685,0.0539568345323741,Medium,Stable,733,,64,6448262.3397522,10801.7314915315
62,53033005801,58.01,Census Tract 58.01,Interbay,12.2,2001,1.48,1297,0.064748201438849,0.0639868744872847,Medium,Stable,1036,,43,19618424.2433472,25500.0139546944
63,53033007406,74.06,Census Tract 74.06,Capitol Hill,6.2,2001,2,1042,0.0526315789473685,0.0514631685166499,Medium,Stable,1078,,41,1623443.82748413,6764.47724113477
64,53033007405,74.05,Census Tract 74.05,Capitol Hill,6.2,2001,2,1094,0.0526315789473685,0.0529355149181906,Medium,Stable,1203,,46,1418974.04168701,5012.79869002574
65,53033009701,97.01,Census Tract 97.01,Alki/Admiral,1.4,2001,1.48,1237,0.0571428571428572,0.0536626916524702,Medium,Stable,395,,35,19291172.1184692,29764.000341636
66,53033009600,96,Census Tract 96,Alki/Admiral,1.4,2001,1.42,1152,0.0518518518518517,0.0510948905109489,Low,Stable,432,,32,19741501.6534882,20745.4059998832
67,53033008700,87,Census Tract 87,Central Area/Squire Park,5.3,2001,1.86,1077,0.0508474576271187,0.0527859237536657,Medium,Stable,485,,39,7883013.1696167,11432.3842123557
68,53033011402,114.02,Census Tract 114.02,Roxhill/Westwood,2.4,2001,1.61,967,0.0522875816993464,0.0510869565217391,Low,Stable,405,,23,12779277.8645477,17351.055007292
69,53033011200,112,Census Tract 112,South Park,3.1,2001,0.92,562,0.0454545454545455,0.0485074626865672,Low,Stable,175,,15,26463890.0310974,27002.3375751905
70,53033010900,109,Census Tract 109,Georgetown,3.2,2001,1.74,875,0.0481927710843374,0.0516826923076923,Low,Stable,137,,13,51677122.7107849,44978.7538438156
71,53033011002,110.02,Census Tract 110.02,South Beacon Hill/NewHolly,3.4,2001,0,0,0,0,,,0,,0,18508908.4571838,22511.1267649617
72,53033011102,111.02,Census Tract 111.02,Seward Park,4.3,2001,1.06,733,0.0600000000000001,0.0531609195402299,Low,Stable,450,,22,13970026.6890106,20411.1700649139
73,53033010702,107.02,Census Tract 107.02,High Point,2.2,2001,0,0,0,0,,,0,,0,8396926.79307556,14935.9302412484
74,53033001100,11,Census Tract 11,Olympic Hills/Victory Heights,8.2,2001,0.92,699,0.0574712643678161,0.0542986425339367,Low,Stable,188,,11,11416399.5888062,14159.1273465597
75,53033000700,7,Census Tract 7,Olympic Hills/Victory Heights,8.2,2001,1.35,963,0.0465116279069768,0.0478781284004353,Low,Stable,755,,53,13932242.3934631,16134.0299149422
76,53033000202,2.02,Census Tract 2.02,Olympic Hills/Victory Heights,8.2,2001,1.18,942,0.0630630630630629,0.0596175478065242,Low,Stable,187,,6,15930118.4908752,17285.8273694368
77,53033000101,1.01,Census Tract 1.01,Cedar Park/Meadowbrook,8.3,2001,1.25,890,0.0593220338983051,0.0532544378698225,Low,Stable,948,,33,4465058.88146973,8662.07421505589
78,53033003301,33.01,Census Tract 33.01,Whittier Heights,10.2,2001,1.86,1122,0.0508474576271187,0.0525328330206379,Medium,Stable,525,,58,7202858.49346924,11177.1813262219
79,53033003602,36.02,Census Tract 36.02,Green Lake,9.4,2001,2.11,1228,0.0497512437810946,0.0513698630136986,High,Stable,558,,42,5621886.08477783,11471.0943824279
80,53033001900,19,Census Tract 19,Northgate/Maple Leaf,8.1,2001,1.75,1293,0.0479041916167665,0.0503655564581641,Medium,Stable,129,,8,17945171.5240173,18948.4812689278
81,53033001702,17.02,Census Tract 17.02,Greenwood/Phinney Ridge,9.3,2001,0,0,0,0,,,0,,0,13779275.7612915,17476.4075143324
82,53033006500,65,Census Tract 65,North Capitol Hill,6.3,2001,1.89,1251,0.0558659217877094,0.0521446593776283,Medium,Stable,950,,74,12352257.7561951,17921.5013322026
83,53033006200,62,Census Tract 62,Montlake/Portage Bay,7.1,2001,0,0,0,0,,,0,,0,24610619.7424011,40010.5992573485
84,53033005305,53.05,Census Tract 53.05,University District,7.2,2001,2.05,989,0.056701030927835,0.053248136315229,Medium,Stable,1174,,46,2292236.61618042,6048.60922233999
85,53033002600,26,Census Tract 26,Ravenna/Bryant,7.3,2001,2.08,1292,0.0505050505050506,0.0529747351263244,High,Stable,191,,5,13398040.1758728,15933.937900155
86,53033002000,20,Census Tract 20,Northgate/Maple Leaf,8.1,2001,1.38,1036,0.0534351145038167,0.0539165818921668,Low,Stable,206,,9,12183878.8231506,15509.5457092747
87,53033006300,63,Census Tract 63,Madison Park,6.5,2001,1.5,1143,0.0563380281690141,0.0544280442804428,Medium,Stable,578,,20,27750333.3955383,36285.8489218384
88,53033006600,66,Census Tract 66,Cascade/Eastlake,11.3,2001,1.83,1214,0.0578034682080925,0.0538194444444444,Medium,Stable,1162,,80,11110296.8534851,21995.1062951424
89,53033006900,69,Census Tract 69,Queen Anne,12.3,2001,1.59,1052,0.0529801324503312,0.0541082164328657,Low,Stable,468,,34,9742176.64987183,15666.5439544695
90,53033006000,60,Census Tract 60,Queen Anne,12.3,2001,1.91,1409,0.0552486187845303,0.0530642750373692,High,Stable,668,,55,14158764.7126465,19123.0326298116
91,53033005201,52.01,Census Tract 52.01,Wallingford,11.2,2001,2.29,1055,0.055299539170507,0.0528942115768463,Medium,Stable,269,,19,7536632.48083496,14175.9240617134
92,53033005000,50,Census Tract 50,Wallingford,11.2,2001,2,1254,0.0526315789473685,0.0520134228187919,Medium,Stable,749,,60,8151942.29489136,11560.148011522
93,53033008600,86,Census Tract 86,First Hill,6.1,2001,2.17,1182,0.0533980582524271,0.0544157002676182,High,Stable,997,,45,7656616.62564087,11640.7206126296
94,53033008002,80.02,Census Tract 80.02,Belltown,13.1,2001,2.51,1789,0.0546218487394958,0.0523529411764706,High,Stable,1131,,14,2522029.80825806,7998.38246587977
95,53033007901,79.01,Census Tract 79.01,Central Area/Squire Park,5.3,2001,1.91,1222,0.0552486187845303,0.053448275862069,Medium,Stable,709,,45,2876299.50189209,7879.40433949822
96,53033007202,72.02,Census Tract 72.02,Cascade/Eastlake,11.3,2001,2.46,1818,0.0512820512820513,0.0514748409485252,High,Stable,559,,10,3020075.66329956,7591.70188344636
97,53033007301,73.01,Census Tract 73.01,Cascade/Eastlake,11.3,2001,2.21,1556,0.0523809523809523,0.0513513513513514,High,Stable,274,,6,2699344.10806274,7422.61069281975
98,53033010302,103.02,Census Tract 103.02,Columbia City,4.2,2001,2.04,1427,0.0515463917525774,0.051584377302874,High,Stable,259,,17,6804418.75059509,11267.2532000827
99,53033009100,91,Census Tract 91,Pioneer Square/International District,13.3,2001,2.14,1360,0.0541871921182268,0.0518174787316319,High,Stable,571,,12,4419685.26577759,10608.3854115205
100,53033009200,92,Census Tract 92,Pioneer Square/International District,13.3,2001,2.1,1244,0.0552763819095478,0.05156382079459,High,Stable,321,,10,3456088.55044556,12687.1211893969
101,53033011700,117,Census Tract 117,South Beacon Hill/NewHolly,3.4,2001,0,0,0,0,,,0,,0,37826036.2597046,29439.6267373345
102,53033000500,5,Census Tract 5,Broadview/Bitter Lake,9.1,2001,0,0,0,0,,,0,,0,30294741.0541992,27094.5667843899
103,53033000601,6.01,Census Tract 6.01,Haller Lake,9.5,2001,1.24,873,0.0508474576271187,0.0455089820359281,Low,Stable,569,,15,15404952.5828857,20078.9564759328
104,53033003500,35,Census Tract 35,Greenwood/Phinney Ridge,9.3,2001,1.95,978,0.054054054054054,0.0538793103448276,Medium,Stable,259,,21,13828061.6665344,16634.3489620973
105,53033001500,15,Census Tract 15,North Beach/Blue Ridge,10.1,2001,0.77,891,0.0547945205479453,0.0531914893617021,Low,Stable,59,,4,12300447.062561,13960.3795463703
106,53033001400,14,Census Tract 14,North Beach/Blue Ridge,10.1,2001,1.28,1035,0.0491803278688525,0.0528992878942014,Low,Stable,433,,21,23073388.6559448,30536.3374485091
107,53033001300,13,Census Tract 13,Licton Springs,9.2,2001,1.36,851,0.0542635658914729,0.0532178217821782,Low,Stable,799,,64,12710036.9901733,14881.0870453396
108,53033003800,38,Census Tract 38,Ravenna/Bryant,7.3,2001,2.38,1220,0.0530973451327434,0.055363321799308,High,Stable,159,,6,6722791.39416504,10392.5315540704
109,53033007001,70.01,Census Tract 70.01,Queen Anne,12.3,2001,1.8,1070,0.0526315789473685,0.0531496062992126,Medium,Stable,1374,,50,3856290.05014038,9530.30256857274
110,53033004800,48,Census Tract 48,Fremont,11.1,2001,1.97,1179,0.0534759358288769,0.04986642920748,Medium,Stable,216,,25,13833886.8196411,18822.2365726525
111,53033005100,51,Census Tract 51,Wallingford,11.2,2001,2.65,1159,0.0557768924302789,0.0545950864422202,High,Stable,248,,22,9490350.15280151,13462.5915467426
112,53033008200,82,Census Tract 82,First Hill,6.1,2001,2.37,1810,0.0486725663716816,0.0529377545084351,High,Stable,810,,11,4044773.82589722,9102.1403414799
113,53033010101,101.01,Census Tract 101.01,Columbia City,4.2,2001,2.14,1150,0.0490196078431373,0.0531135531135531,Medium,Stable,177,,8,9381810.13056946,15311.6567050508
114,53033012100,121,Census Tract 121,Arbor Heights,1.1,2001,0,0,0,0,,,0,,0,18538900.9337463,25983.6162383482
115,53033011901,119.01,Census Tract 119.01,Rainier Beach,4.1,2001,0,0,0,0,,,0,,0,18097640.7372589,20485.6455423004
116,53033000602,6.02,Census Tract 6.02,Haller Lake,9.5,2001,1.12,963,0.0370370370370371,0.0399568034557235,Low,Stable,326,,8,25947507.8614197,23221.7047501309
117,53033000201,2.01,Census Tract 2.01,Olympic Hills/Victory Heights,8.2,2001,1.08,888,0.0485436893203884,0.0533807829181495,Low,Stable,836,,12,19446176.3249207,18651.5780841956
118,53033003302,33.02,Census Tract 33.02,Whittier Heights,10.2,2001,1.57,1032,0.0466666666666667,0.0519877675840979,Low,Stable,446,,51,6749336.48599243,10550.8179265194
119,53033005304,53.04,Census Tract 53.04,University District,7.2,2001,0,0,0,0,,,0,,0,786047.098052979,4083.12606626598
120,53033004202,42.02,Census Tract 42.02,Ravenna/Bryant,7.3,2001,2.23,1540,0.056872037914692,0.0526315789473684,High,Stable,54,,5,13141688.4516602,15651.6663663576
121,53033007404,74.04,Census Tract 74.04,Capitol Hill,6.2,2001,1.94,1137,0.0543478260869564,0.0527777777777778,Medium,Stable,1177,,61,1654579.82751465,5775.69998668964
122,53033006701,67.01,Census Tract 67.01,Queen Anne,12.3,2001,2.45,1821,0.0515021459227468,0.0513856812933025,High,Stable,360,,13,3639833.1784668,12143.7792365382
123,53033007800,78,Census Tract 78,Madrona/Leschi,5.1,2001,0,0,0,0,,,0,,0,22245158.163269,28746.3735215772
124,53033007503,75.03,Census Tract 75.03,Capitol Hill,6.2,2001,2.4,1541,0.0526315789473685,0.051877133105802,High,Stable,333,,14,2018614.36813354,6484.38948226953
125,53033007201,72.01,Census Tract 72.01,Cascade/Eastlake,11.3,2001,2.17,1452,0.0432692307692307,0.0431034482758621,High,Stable,1675,,12,1622558.90014648,5873.2165106452
126,53033007203,72.03,Census Tract 72.03,Cascade/Eastlake,11.3,2001,2.72,1939,0.0501930501930503,0.0520889853499729,High,Stable,162,,7,6238804.94293213,12493.9648041578
127,53033010301,103.01,Census Tract 103.01,Columbia City,4.2,2001,1.27,1108,0.0583333333333334,0.0532319391634981,Low,Stable,52,,4,10792262.4648438,16924.3685147596
128,53033009900,99,Census Tract 99,North Delridge,2.1,2001,1.79,1043,0.0467836257309942,0.044044044044044,Medium,Stable,464,,16,70254374.707016,64633.6615792341
129,53033009500,95,Census Tract 95,Mt. Baker/North Rainier,4.4,2001,2.07,977,0.0561224489795918,0.0539374325782093,Medium,Stable,140,,12,27424305.6749573,29618.2112966095
130,53033009400,94,Census Tract 94,North Beacon Hill/Jefferson Park,3.6,2001,2.26,1294,0.0511627906976744,0.0520325203252033,High,Stable,509,,52,18150625.6758423,18874.5831831158
131,53033011801,118.01,Census Tract 118.01,Rainier Beach,4.1,2001,1.19,842,0.0530973451327434,0.0538172715894869,Low,Stable,269,,13,12671173.5070038,15849.8135377743
132,53033011602,116.02,Census Tract 116.02,Fauntleroy/Seaview,1.2,2001,1.21,843,0.0521739130434783,0.0511221945137157,Low,Stable,113,,13,16924173.2272644,24704.0405747324
133,53033011401,114.01,Census Tract 114.01,Roxhill/Westwood,2.4,2001,1.2,1053,0.0256410256410257,0.0283203125,Low,Stable,565,,6,13273369.1432037,17478.0591593666
134,53033010701,107.01,Census Tract 107.01,High Point,2.2,2001,0.99,839,0.0421052631578948,0.0422360248447205,Low,Stable,199,,4,15726285.722641,21302.3651802902
135,53033010602,106.02,Census Tract 106.02,Fauntleroy/Seaview,1.2,2001,1.34,890,0.0551181102362205,0.0545023696682464,Low,Stable,317,,20,15462014.0646667,23774.9471378089
136,53033000900,9,Census Tract 9,Cedar Park/Meadowbrook,8.3,2001,0,0,0,0,,,0,,0,10031158.8856812,20828.1661958069
137,53033000402,4.02,Census Tract 4.02,Broadview/Bitter Lake,9.1,2001,1.3,876,0.0483870967741936,0.0516206482593037,Low,Stable,485,,28,19362220.5229187,21397.1752981976
138,53033000300,3,Census Tract 3,Haller Lake,9.5,2001,1.05,799,0.05,0.054089709762533,Low,Stable,83,,7,13033864.5966187,17298.0295354457
139,53033003202,32.02,Census Tract 32.02,Sunset Hill/Loyal Heights,10.3,2001,1.8,1221,0.0526315789473685,0.0534943917169974,Medium,Stable,345,,34,10289818.4570313,12945.3948643709
140,53033003000,30,Census Tract 30,Whittier Heights,10.2,2001,1.82,1139,0.0520231213872833,0.0507380073800738,Medium,Stable,170,,22,16072222.0088196,16061.947620856
141,53033001701,17.01,Census Tract 17.01,Greenwood/Phinney Ridge,9.3,2001,2.17,1363,0.0533980582524271,0.053323029366306,High,Stable,370,,26,9609026.08453369,17164.4547776423
142,53033001600,16,Census Tract 16,North Beach/Blue Ridge,10.1,2001,2.3,1378,0.050228310502283,0.0535168195718654,High,Stable,143,,11,20575392.7101746,23147.6459804202
143,53033002100,21,Census Tract 21,Wedgwood/View Ridge,7.4,2001,2.51,988,0.0502092050209204,0.0533049040511727,High,Stable,188,,16,14696796.7441101,16139.9218598102
144,53033003900,39,Census Tract 39,Wedgwood/View Ridge,7.4,2001,1.32,902,0.056,0.0549707602339181,Low,Stable,108,,8,10481334.9800415,13200.9092050947
145,53033007102,71.02,Census Tract 71.02,Queen Anne,12.3,2001,2.26,1472,-0.0543933054393307,-0.0503225806451613,High,Decline,577,,19,3615500.8977356,11499.9407456685
146,53033006702,67.02,Census Tract 67.02,Queen Anne,12.3,2001,2.41,1646,0.0478260869565219,0.0517571884984026,High,Stable,388,,31,3280147.99505615,8593.8649046644
147,53033005401,54.01,Census Tract 54.01,Fremont,11.1,2001,2.2,1415,0.0526315789473686,0.0504825538233111,High,Stable,375,,32,7892270.58761597,19740.10787087
148,53033008004,80.04,Census Tract 80.04,Belltown,13.1,2001,2.23,1705,0.0469483568075118,0.0479409956976029,High,Stable,738,,7,2908326.63348389,14944.9795882911
149,53033008003,80.03,Census Tract 80.03,Belltown,13.1,2001,2.43,1587,0.051948051948052,0.0516898608349901,High,Stable,402,,7,2122043.71142578,8720.99942149515
150,53033008402,84.02,Census Tract 84.02,Capitol Hill,6.2,2001,2.1,1283,0.05,0.0516393442622951,High,Stable,1187,,40,1565507.71533203,5220.86848686108
151,53033007303,73.03,Census Tract 73.03,Cascade/Eastlake,11.3,2001,0,0,0,0,,,0,,0,3374596.39306641,7984.8635220016
152,53033010002,100.02,Census Tract 100.02,North Beacon Hill/Jefferson Park,3.6,2001,1.62,1012,0.051948051948052,0.051975051975052,Low,Stable,419,,19,10204645.644455,13732.7653894052
153,53033011902,119.02,Census Tract 119.02,Rainier Beach,4.1,2001,0,0,0,0,,,0,,0,16290813.6344757,28897.5986341236
154,53033011802,118.02,Census Tract 118.02,Rainier Beach,4.1,2001,1.1,673,0.0476190476190477,0.0499219968798752,Low,Stable,67,,3,12323056.7394714,17201.5467858114
155,53033004703,47.03,Census Tract 47.03,Ballard,10.4,2001,1.94,1083,0.0543478260869564,0.0514563106796116,Medium,Stable,414,,51,13030918.1381531,18718.8593915212
156,53033001000,10,Census Tract 10,Cedar Park/Meadowbrook,8.3,2001,1.01,770,0.0412371134020619,0.039136302294197,Low,Stable,122,,5,10270271.6852112,13147.0305998084
157,53033000403,4.03,Census Tract 4.03,Broadview/Bitter Lake,9.1,2001,1.21,918,0.0431034482758621,0.0467502850627138,Low,Stable,409,,11,7881185.92349243,14097.0266947453
158,53033003201,32.01,Census Tract 32.01,Sunset Hill/Loyal Heights,10.3,2001,2.15,1380,0.0539215686274509,0.0518292682926829,High,Stable,608,,26,11927788.6225891,32094.5033857248
159,53033004600,46,Census Tract 46,Green Lake,9.4,2001,1.52,957,0.0482758620689656,0.0504939626783754,Low,Stable,65,,7,27829368.7579956,25514.2239990877
160,53033004702,47.02,Census Tract 47.02,Ballard,10.4,2001,2.14,1287,0.0490196078431373,0.0523303352412101,High,Stable,403,,36,2867507.734375,6956.44967487604
161,53033002700,27,Census Tract 27,Green Lake,9.4,2001,1.36,993,0.0542635658914729,0.0519067796610169,Low,Stable,257,,21,17058079.2767029,21942.8352783745
162,53033001800,18,Census Tract 18,Licton Springs,9.2,2001,1.44,1008,0.0510948905109488,0.0532915360501567,Low,Stable,562,,54,10182882.2714539,13946.100028213
