Year,"Median Household Income","YOY Change($)","YOY Change(%)"
2010,"85,231",-,-
2011,"84,218","-1,013",-1.19%
2012,"84,645",427,0.51%
2013,"85,757","1,112",1.31%
2014,"87,049","1,292",1.51%
2015,"91,065","4,016",4.61%
2016,"94,824","3,759",4.13%
2017,"99,219","4,395",4.63%
2018,"104,153","4,934",4.97%
2019,"110,308","6,155",5.91%
2020,"114,667","4,359",3.95%
2021,"118,618","3,951",3.45%
2022,"120,856","2,238",1.89%
2023,"121,984","1,128",0.93%
